date,ticker,momentum_12m,reversal_5d,rsi_14,volatility_20d,value_pb,rsi_recommended_weight,fwd_ret_1d
2024-01-02,AAA,0.82,-0.31,62.0,0.018,1.4,0.49,0.0031
2024-01-02,BBB,-0.45,0.22,38.0,0.025,2.1,0.49,-0.0012
2024-01-02,CCC,0.11,0.05,71.0,0.031,0.9,0.49,0.0008
2024-01-03,AAA,0.79,-0.28,66.0,0.019,1.4,0.49,0.0027
2024-01-03,BBB,-0.50,0.30,33.0,0.027,2.0,0.49,-0.0019
2024-01-03,CCC,0.15,-0.02,69.0,0.030,0.95,0.49,0.0014
2024-01-04,AAA,0.71,-0.20,58.0,0.021,1.5,0.49,-0.0022
2024-01-04,BBB,-0.42,0.18,41.0,0.024,2.2,0.49,0.0015
2024-01-04,CCC,0.09,0.11,73.0,0.033,0.88,0.49,-0.0006
2024-01-05,AAA,0.66,-0.15,55.0,0.020,1.6,0.49,0.0018
2024-01-05,BBB,-0.38,0.26,29.0,0.029,1.9,0.49,-0.0024
2024-01-05,CCC,0.20,-0.08,77.0,0.034,0.82,0.49,0.0011
2024-01-08,AAA,0.60,-0.12,52.0,0.022,1.7,0.49,0.0009
2024-01-08,BBB,-0.33,0.21,44.0,0.023,2.3,0.49,-0.0017
2024-01-08,CCC,0.24,0.03,68.0,0.032,0.79,0.49,0.0021
